y,x,Linie,Km,Name,BPS,BPS-Name,Oben,Unten,B-Jahr,Typ,Bauart,Bem Bauart,Nutzung,Bem Nutzung,Zus Nutz,Breite,Lange (m),Diff H=,Steigung,Handlauf,Bem Handlauf,Oberflache,Bem Oberflache,Bemerkungen,Eigentum,Bem Eigentum,Besonderheiten,Perron,Status,FID,geopos
696914.462,251619.398,753,4.517,R5 Per.2 PU West,IL,Illnau,Weg/ Perron,PU,2014,Perronrampe,Beton,,Fussgaenger,,keine,2.8,29.13,2.29,13,beidseitig,Chromstahlrohr,Beton-Belag,,,SBB,,,2,Bestehend,152047181,"47.4082561894, 8.72269636968"
696870.728,251809.418,753,4.323,R1 Per.2 Nord,IL,Illnau,Perron,Strasse,2014,Perronrampe,Beton,,Fussgaenger,,keine,2.0,16.65,0.85,8.0,einseitig,Cromstahlrohr,Bituminoeses Mischgut,,,SBB,,,1,Bestehend,152047352,"47.409971466, 8.72215820007"
697084.855,251202.823,753,4.967,T1 Dienst,IL,Illnau,Strasse,Gleis,2014,Treppe,Beton,,Andere,Dienstlich,keine,0.7,5.0,3.3,,einseitig,,Beton-Belag,,,SBB,,,,Bestehend,163216985,"47.4044848471, 8.72486312036"
697290.129,250731.512,753,5.487,T2 Dienst,IL,Illnau,Strasse,Gleis,2014,Treppe,Beton,,Andere,Dienstlich,keine,0.8,10.5,6.85,,einseitig,,Beton-Belag,,,SBB,,,,Bestehend,163217089,"47.4002160683, 8.72747966233"
696940.582,251597.256,753,4.547,T5 Zug. Antenne,IL,Illnau,Perron,Platz,2014,Perrontreppe,Stahl,,Andere,Dienstlich,keine,1.0,0.7,0.8,,kein,,Andere,Gitterrost,,SBB,,,,Bestehend,163329231,"47.4080532223, 8.72303758355"
696932.727,251636.617,753,4.507,R3 Per.1 PU Ost,IL,Illnau,Perron,Rampe/ Treppe,2014,Perronrampe,Beton,,Fussgaenger,,keine,2.0,33.37,2.17,15,einseitig,Chromstahlrohr,Beton-Belag,,,SBB,,,1,Bestehend,163612618,"47.4084083504, 8.72294206314"
676909.631,217825.61,653,105.27,Dienst,IM,Immensee,Gleisanlage,Gewasser,2001,Treppe,Holz,Schwellen,,,keine,0.6,1.85,1.0,54,Unbekannt,,Andere,Holz,,SBB,,,,Bestehend,35213427,"47.1069623457, 8.45189440951"
676782.781,216420.735,570,17.982,Treppe,IM,Immensee,Tunnelportal,Weg,2009,Treppe,Beton,,Fussgaenger,,keine,0.6,11.25,0.0,,Unbekannt,,Beton-Belag,,,SBB,,,,Bestehend,35154180,"47.0943413974, 8.44998486876"
685323.039,278828.448,770,34.412,R1 Perron 1,JE,Jestetten,Perron,PU,2013,Rampe,Beton,,Fussgaenger,,,2.4,46.8,3.88,6,beidseitig,,Beton-Belag,,,SBB,,,2,Bestehend,68036474,"47.6545469604, 8.5743558104"
685359.486,278876.669,770,34.461,R2 Perron 3,JE,Jestetten,Perron,PU,2013,Rampe,Beton,,Fussgaenger,,,2.7,85.44,4.313,6,beidseitig,,Beton-Belag,,,SBB,,,3,Bestehend,68036766,"47.6549758395, 8.57485018242"
685272.059,278830.014,770,34.364,R2 Perron 2,JE,Jestetten,Perron,Platz,2013,Rampe,Beton,,Fussgaenger,,keine,2.45,11.87,0.541,4.6,beidseitig,,Bituminoeses Mischgut,,,SBB,,,2,Bestehend,68036617,"47.6545676765, 8.57367761193"
621453.288,265351.422,700,77.013,Treppe,KAU,Kaiseraugst,Perron,Unterfuhrung,1970,Treppe,,,,,,2.7,9.8,0.0,,,#BZU,Andere,,,SBB,,,4/5,Bestehend,35192355,"47.53854079, 7.72355400311"
704057.241,232888.679,730,33.725,T3 Perron 1,KPT,Kempraten,Perron,Weg,1981,Treppe,Beton,,Fussgaenger,,keine,1.0,6.6,2.3,,einseitig,,Beton-Belag,,,SBB,,,1,Bestehend,35221375,"47.2387206913, 8.8129693715"
695563.559,256573.801,751,20.518,T3 Per 2/3,KE,Kemptthal,Perron,PU,1989,Perrontreppe,Beton,,Fussgaenger,Velo,Kinderwagen(-rampe),1.31,10.75,3.58,,beidseitig,#BZU,Beton-Belag,,,SBB,,,2/3,Bestehend,35251149,"47.4530082013, 8.70586077392"
695542.523,256584.418,751,20.524,T2 Bahnhofplatz,KE,Kemptthal,Platz,PU,1989,Treppe,Beton,,Fussgaenger,,keine,1.15,2.7,1.78,,Unbekannt,#BZU,Andere,Naturstein,,SBB,,,,Bestehend,35115417,"47.4531067337, 8.70558414427"
581271.745,202705.723,251,84.812,Aufgang Stellwerk,KZ,Kerzers,hist.Stellwerk,PU Kerzers SBB,,Perrontreppe,Beton,,Fussgaenger,,keine,2.25,8.12,3.7,,einseitig,,Beton-Belag,,,SBB,,,,Bestehend,134965002,"46.9751542035, 7.19250515228"
610357.749,185734.539,290,127.879,tREPPE,KI,Kiesen,Weg,Unterfuhrung,1904,Treppe,Beton,,Fussgaenger,,keine,2.0,1.8,1.3,,kein,,Beton-Belag,,,SBB,,,,Bestehend,35054279,"46.8226811502, 7.57437129157"
683837.191,242117.613,720,8.613,T3 Perron 2,KIL,Kilchberg,Perron,PU,1993,Treppe,Beton,,Fussgaenger,,Kinderwagen(-rampe),2.51,2.8,0.0,15/32,beidseitig,#BZU,Naturstein-Pflaesterung,,,SBB,,,2,Bestehend,35252003,"47.3245979563, 8.54767442196"
683874.954,242084.447,720,8.654,T5 Perron 1,KIL,Kilchberg,Passerelle,Perron,1956,Treppe,Beton,,Fussgaenger,,keine,2.772,18.0,0.0,14/34,beidseitig,,Naturstein-Pflaesterung,,,SBB,,,,Bestehend,35151012,"47.3242948769, 8.54816770354"
669111.399,254036.596,710,16.086,T6 Per. 5/6,KLW,Killwangen-Spreitenbach,Perron,PU,1968,Treppe,Beton,,Fussgaenger,,keine,3.0,13.04,4.38,33/15,beidseitig,#BZU,Naturstein-Pflaesterung,,,SBB,,,5/6,Bestehend,50702310,"47.4335002343, 8.35473280151"
660814.487,270542.665,702,38.502,Dienst,KLI,Klingnau,Gleis,Strasse,2002,Treppe,Beton,,,,keine,1.2,3.5,0.0,,einseitig,#BZU,Gussasphalt,,,SBB,,,,Bestehend,35121877,"47.5827644124, 8.24701435154"
686358.001,255938.394,752,10.001,R1,KL,Kloten,Platz,PU,1963,Rampe,Beton,,Fussgaenger,,keine,1.84,26.5,0.0,,beidseitig,#BZU,Bituminoeses Mischgut,,,SBB,,,,Bestehend,35071330,"47.4485666528, 8.58368427396"
