didok;stationsbezeichnung;gueltig_von;gueltig_bis;knoten;abfertigungs_info;geopos;ID
1596;Montana-Gare;01.01.2013;;BR 240;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3129044245, 7.48922118856;118
1601;Leuk;;;BR 251;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;46.3118851335, 7.64394777254;119
1605;Visp;01.01.1931;;BR 291;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2940248591, 7.88145816487;120
1609;Brig;01.01.2013;;BR 100;Fluggepäck (Check-in am Bahnhof);46.3194210071, 7.98809158467;121
1656;Leukerbad;01.01.2013;;BR 260;Reisegepäck Express;46.3797876392, 7.62640947824;122
1659;Unterbäch VS;01.01.2020;;BR 272;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2848660051, 7.80071635127;123
1665;Münster VS;01.01.2021;;BR 761;Allgemeine Informationen;46.4853623898, 8.266538327;124
1671;Fürgangen-Bellwald;01.01.2005;;BR 741;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4119021944, 8.15231661725;125
1689;Zermatt;01.01.2013;;BR 400;Reisegepäck Express;46.0244720211, 7.74829647858;126
1698;Riederalp Mitte;01.01.2017;;BR 710;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.377990382, 8.03321389312;127
1779;St-Luc, office du tourisme;01.01.2014;;BR 233;Allgemeine Informationen;46.2235565931, 7.59305699674;128
1791;Zinal, poste;01.01.2017;;BR 235;Allgemeine Informationen;46.1371059632, 7.62498227897;129
71065;Bürchen, Tourismusbüro;01.01.2017;;BR 293;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2705984737, 7.82795328088;130
1963;Visperterminen, Tourismusbüro;01.01.2011;;BR 292;Allgemeine Informationen;46.2580558114, 7.90268134293;131
2007;Sursee;;;LZ 321;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1707889132, 8.09787795205;132
2021;Emmenbrücke;01.01.2025;;LZ 311;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.0705979582, 8.28255105833;133
2113;Aarau;01.01.2013;01.01.1931;ZUE300;Fluggepäck (Check-in am Bahnhof);47.3913553369, 8.05125354274;134
2119;Lenzburg;01.01.2029;;ZUE380;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3911934191, 8.17037888645;135
2273;Bremgarten;01.01.2017;;LZ 433;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3518702667, 8.34747515845;136
3000;Zürich HB;01.01.2013;;ZUE100;Reisegepäck Express;47.3781765756, 8.54019221036;137
3067;Zollikerberg;01.01.2021;;ZUE716;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3460550549, 8.60340013877;138
3096;Adliswil;01.01.2003;;ZUE241;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3123035699, 8.52416439213;139
3103;Herrliberg-Feldmeilen;01.01.2007;;ZUE724;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2818232851, 8.61271954112;140
3122;Bubikon;01.01.2017;;ZUE554;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2708395927, 8.82270102308;141
3123;Wetzikon;01.01.2016;;ZUE550;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.3180331432, 8.79226951209;142
3125;Uster;;;ZUE540;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3503664551, 8.71868854805;143
3202;Thalwil;01.01.1931;;ZUE230;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2959747213, 8.56475556229;144
3220;Lachen;01.01.2007;;ZUE853;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.190068574, 8.85269238166;145
3230;Glarus;;;ZUE813;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.0399200317, 9.0715516467;146
3261;Braunwald;01.01.2017;;ZUE820;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9387034538, 8.99859284612;147
3288;Wollerau;01.01.2021;;ZUE837;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1954349225, 8.7249971721;148
3306;Dietlikon;01.01.2005;;ZUE512;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4201947418, 8.61925589067;149
3409;Bad Zurzach;01.01.2021;;ZUE418;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5883101087, 8.29556465398;150
3526;Regensdorf-Watt;01.01.1931;;ZUE410;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4365626396, 8.47206501622;151
4062;Châtel-St-Denis;01.01.2029;;BN 222;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5261372928, 6.89874553473;152
4070;Montbovon;01.01.2013;;LS 302;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.485890724, 7.04264055621;153
4134;Payerne;;;LS 461;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.8196387484, 6.93987910663;154
4221;Neuchâtel;;;BN 930;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9967222076, 6.93570514491;155
4300;Biel/Bienne;01.01.2013;;BN 900;Fluggepäck (Check-in am Bahnhof);47.1328920532, 7.24290845288;156
5000;Luzern;01.01.2013;;LZ 100;Fluggepäck (Check-in am Bahnhof);47.0501697679, 8.31017092011;157
5004;Arth-Goldau;01.01.2017;;LZ 631;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.04915622, 8.54949116322;158
5112;Flüelen;01.01.2025;01.01.2028;LZ 661;Allgemeine Informationen;46.9017256462, 8.62429304308;159
5113;Altdorf;;;LZ 671;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.8757407268, 8.63156572016;160
5400;Locarno;01.01.2013;;BEL200;Fluggepäck (Check-in am Bahnhof);46.1724273965, 8.80135894865;161
