didok,stationsbezeichnung,service,periodevon,periodebis,von1,bis1,von2,bis2,von3,bis3,Mo,Di,Mi,Do,Fr,Sa,So,Oeffnungsdauer,Dauer Mo-Fr,Dauer Sa,Dauer So,Unternehmung,geopos,ID
207,Solothurn,Gepäckaufbewahrung,,01.01.2010,0001-01-01T08:08:28+00:53,0001-01-01T19:23:28+00:53,,,,,,,,,,1,1,11.15 Std/Min.,,11.15 Std/Min.,11.15 Std/Min.,SBB,"47.2041807751, 7.54268420304",56
207,Solothurn,Velovermietung,01.01.2012,01.01.2010,0001-01-01T09:53:28+00:53,0001-01-01T18:38:28+00:53,,,,,,,,,,1,1,8.45 Std/Min.,,8.45 Std/Min.,8.45 Std/Min.,SBB,"47.2041807751, 7.54268420304",57
207,Solothurn,Western Union,,01.01.2010,0001-01-01T07:38:28+00:53,0001-01-01T20:23:28+00:53,,,,,1,1,1,1,1,,,12.45 Std/Min.,63.45 Std/Min.,,,SBB,"47.2041807751, 7.54268420304",58
212,Oensingen,Geldwechsel,,01.01.2010,0001-01-01T08:53:28+00:53,0001-01-01T14:23:28+00:53,,,,,,,,,,1,,5.30 Std/Min.,,5.30 Std/Min.,,SBB,"47.2850232125, 7.70985469445",59
294,Balsthal,Gepäckaufbewahrung,,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T12:43:28+00:53,,,,,,,,,,1,,5.20 Std/Min.,,5.20 Std/Min.,,OeBB,"47.3128885029, 7.69391394062",60
301,Rheinfelden,"Billette, Abonnemente, Freizeitangebote",01.01.2007,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T16:23:28+00:53,,,,,,,,,,1,,7.30 Std/Min.,,7.30 Std/Min.,,SBB,"47.5512096146, 7.79215393064",61
301,Rheinfelden,Geldwechsel,01.01.2007,01.01.2012,0001-01-01T08:23:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,11.0 Std/Min.,55.0 Std/Min.,,,SBB,"47.5512096146, 7.79215393064",62
301,Rheinfelden,Western Union,01.01.2007,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T16:23:28+00:53,,,,,,,,,,1,,7.30 Std/Min.,,7.30 Std/Min.,,SBB,"47.5512096146, 7.79215393064",63
305,Frick,"Billette, Abonnemente, Freizeitangebote",,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,10.30 Std/Min.,52.30 Std/Min.,,,SBB,"47.5073437467, 8.01307225263",64
305,Frick,Fundservice,,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,10.30 Std/Min.,52.30 Std/Min.,,,SBB,"47.5073437467, 8.01307225263",65
309,Brugg AG,"Billette, Abonnemente, Freizeitangebote",,01.01.2010,0001-01-01T08:43:28+00:53,0001-01-01T18:33:28+00:53,,,,,,,,,,1,1,9.50 Std/Min.,,9.50 Std/Min.,9.50 Std/Min.,SBB,"47.4808528316, 8.20882744791",66
309,Brugg AG,Western Union,,01.01.2010,0001-01-01T08:43:28+00:53,0001-01-01T18:33:28+00:53,,,,,,,,,,1,1,9.50 Std/Min.,,9.50 Std/Min.,9.50 Std/Min.,SBB,"47.4808528316, 8.20882744791",67
472,Grenchen BGU,"Billette, Abonnemente, Freizeitangebote",01.01.2004,01.01.1931,0001-01-01T14:23:28+00:53,0001-01-01T18:53:28+00:53,,,,,1,,,,,,,4.30 Std/Min.,4.30 Std/Min.,,,BGU,,68
1008,Genève,Beratung & Verkauf,,,0001-01-01T09:23:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,10.0 Std/Min.,50.0 Std/Min.,,,CFF,"46.2102022669, 6.14245302875",69
1008,Genève,Beratung & Verkauf,,,0001-01-01T09:53:28+00:53,0001-01-01T18:08:28+00:53,,,,,,,,,,1,,8.15 Std/Min.,,8.15 Std/Min.,,CFF,"46.2102022669, 6.14245302875",70
1008,Genève,Fundservice,,,0001-01-01T09:23:28+00:53,0001-01-01T19:38:28+00:53,,,,,1,1,1,1,1,,,10.15 Std/Min.,51.15 Std/Min.,,,CFF,"46.2102022669, 6.14245302875",71
1008,Genève,Geldwechsel,,,0001-01-01T09:53:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T15:23:28+00:53,0001-01-01T18:43:28+00:53,,,0,0,0,0,0,0,1,7.50 Std/Min.,39.10 Std/Min.,,7.50 Std/Min.,CFF,"46.2102022669, 6.14245302875",72
1008,Genève,Gepäck,,,0001-01-01T09:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T14:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,,,,1,1,8.30 Std/Min.,,8.30 Std/Min.,8.30 Std/Min.,CFF,"46.2102022669, 6.14245302875",73
1008,Genève,Gepäckaufbewahrung,,,0001-01-01T09:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T14:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,,,,1,1,8.30 Std/Min.,,8.30 Std/Min.,8.30 Std/Min.,CFF,"46.2102022669, 6.14245302875",74
1008,Genève,InfoPoint,,,0001-01-01T08:53:28+00:53,0001-01-01T20:53:28+00:53,,,,,0,0,0,0,0,1,1,12.0 Std/Min.,60.0 Std/Min.,12.0 Std/Min.,12.0 Std/Min.,CFF,"46.2102022669, 6.14245302875",75
1030,Nyon,"Billette, Abonnemente, Freizeitangebote",,,0001-01-01T07:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.0 Std/Min.,60.0 Std/Min.,,,CFF,"46.3844060313, 6.23597429701",76
1030,Nyon,Eventtickets,,,0001-01-01T07:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.0 Std/Min.,60.0 Std/Min.,,,CFF,"46.3844060313, 6.23597429701",77
1030,Nyon,Geldwechsel,,,0001-01-01T07:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.0 Std/Min.,60.0 Std/Min.,,,CFF,"46.3844060313, 6.23597429701",78
1030,Nyon,Gepäck,,,0001-01-01T07:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.0 Std/Min.,60.0 Std/Min.,,,CFF,"46.3844060313, 6.23597429701",79
1030,Nyon,Western Union,,,0001-01-01T08:53:28+00:53,0001-01-01T17:53:28+00:53,,,,,0,0,0,0,0,1,1,9.0 Std/Min.,45.0 Std/Min.,9.0 Std/Min.,9.0 Std/Min.,CFF,"46.3844060313, 6.23597429701",80
1031,Gland,Western Union,01.01.2016,,0001-01-01T08:23:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T15:23:28+00:53,0001-01-01T18:53:28+00:53,,,1,1,1,1,1,,,8.0 Std/Min.,40.0 Std/Min.,,,CFF,"46.419975355, 6.26913801937",81
1036,St-Prex,Drittverkauf,,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T14:53:28+00:53,0001-01-01T18:53:28+00:53,,,1,1,1,1,1,,,7.0 Std/Min.,35.0 Std/Min.,,,CFF,"46.4823041329, 6.45590462293",82
1037,Morges,"Billette, Abonnemente, Freizeitangebote",,,0001-01-01T07:33:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.20 Std/Min.,61.40 Std/Min.,,,CFF,"46.5110918027, 6.49396427184",83
1037,Morges,"Billette, Abonnemente, Freizeitangebote",,,0001-01-01T08:53:28+00:53,0001-01-01T17:53:28+00:53,,,,,,,,,,1,,9.0 Std/Min.,,9.0 Std/Min.,,CFF,"46.5110918027, 6.49396427184",84
1037,Morges,Fundservice,,,0001-01-01T07:33:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.20 Std/Min.,61.40 Std/Min.,,,CFF,"46.5110918027, 6.49396427184",85
1037,Morges,Geldwechsel,,,0001-01-01T07:33:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.20 Std/Min.,61.40 Std/Min.,,,CFF,"46.5110918027, 6.49396427184",86
1037,Morges,Geldwechsel,,,0001-01-01T08:53:28+00:53,0001-01-01T12:43:28+00:53,0001-01-01T14:03:28+00:53,0001-01-01T17:53:28+00:53,,,,,,,,,1,7.40 Std/Min.,,,7.40 Std/Min.,CFF,"46.5110918027, 6.49396427184",87
1037,Morges,Gepäckaufbewahrung,,,0001-01-01T07:33:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.20 Std/Min.,61.40 Std/Min.,,,CFF,"46.5110918027, 6.49396427184",88
1037,Morges,Gepäckaufbewahrung,,,0001-01-01T08:53:28+00:53,0001-01-01T12:43:28+00:53,0001-01-01T14:03:28+00:53,0001-01-01T17:53:28+00:53,,,,,,,,,1,7.40 Std/Min.,,,7.40 Std/Min.,CFF,"46.5110918027, 6.49396427184",89
1052,Genève Balexert,DHL,,,0001-01-01T09:53:28+00:53,0001-01-01T18:53:28+00:53,,,,,0,0,0,0,0,1,0,9.0 Std/Min.,45.0 Std/Min.,9.0 Std/Min.,,CFF,,90
1052,Genève Balexert,DHL,,,0001-01-01T10:23:28+00:53,0001-01-01T20:23:28+00:53,,,,,0,0,0,0,1,0,0,10.0 Std/Min.,50.0 Std/Min.,,,CFF,,91
1052,Genève Balexert,DHL,,,0001-01-01T10:23:28+00:53,0001-01-01T21:53:28+00:53,,,,,0,0,0,1,0,0,0,11.30 Std/Min.,57.30 Std/Min.,,,CFF,,92
1052,Genève Balexert,Eventtickets,,,0001-01-01T10:23:28+00:53,0001-01-01T21:53:28+00:53,,,,,0,0,0,1,0,0,0,11.30 Std/Min.,57.30 Std/Min.,,,CFF,,93
1052,Genève Balexert,Western Union,,,0001-01-01T10:23:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,0,0,0,0,9.30 Std/Min.,47.30 Std/Min.,,,CFF,,94
1062,St-Cergue,Gepäck,01.01.2013,01.01.2013,0001-01-01T06:18:28+00:53,0001-01-01T21:23:28+00:53,,,,,1,1,1,1,1,,,15.5 Std/Min.,75.25 Std/Min.,,,NStCM,"46.4485976182, 6.16037053791",95
1096,Bière,"Billette, Abonnemente, Freizeitangebote",01.01.2019,01.01.2010,0001-01-01T06:18:28+00:53,0001-01-01T20:53:28+00:53,,,,,1,1,1,1,1,1,,14.35 Std/Min.,72.55 Std/Min.,14.35 Std/Min.,,BAM,"46.5374295583, 6.33691885158",96
1096,Bière,"Billette, Abonnemente, Freizeitangebote",01.01.2011,01.01.1931,0001-01-01T06:18:28+00:53,0001-01-01T22:23:28+00:53,,,,,1,1,1,1,,,,16.5 Std/Min.,64.20 Std/Min.,,,BAM,"46.5374295583, 6.33691885158",97
1096,Bière,Gepäck,01.01.2019,01.01.2010,0001-01-01T06:18:28+00:53,0001-01-01T20:53:28+00:53,,,,,1,1,1,1,1,1,,14.35 Std/Min.,72.55 Std/Min.,14.35 Std/Min.,,BAM,"46.5374295583, 6.33691885158",98
1118,Renens VD,Fundservice,,,0001-01-01T07:43:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,11.40 Std/Min.,58.20 Std/Min.,,,CFF,"46.5370287879, 6.57893884264",99
1118,Renens VD,Fundservice,,,0001-01-01T08:53:28+00:53,0001-01-01T12:43:28+00:53,0001-01-01T14:03:28+00:53,0001-01-01T17:53:28+00:53,,,,,,,,1,1,7.40 Std/Min.,,7.40 Std/Min.,7.40 Std/Min.,CFF,"46.5370287879, 6.57893884264",100
8100,Langenthal,Western Union,,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T18:23:28+00:53,,,,,0,0,0,0,0,0,1,8.30 Std/Min.,42.30 Std/Min.,,8.30 Std/Min.,SBB,"47.2173003777, 7.78470885276",101
8166,Melchnau,Drittverkauf,,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T11:53:28+00:53,,,,,,,,,,1,,3.30 Std/Min.,,3.30 Std/Min.,,ASM,,102
8166,Melchnau,Drittverkauf,,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T12:23:28+00:53,0001-01-01T14:53:28+00:53,0001-01-01T18:53:28+00:53,,,1,1,1,1,1,,,8.0 Std/Min.,40.0 Std/Min.,,,ASM,,103
