didok;stationsbezeichnung;schliessfach_wert;schliessfach_zeit;naechste_dienststelle;entfernung;rollstuhl_billet;rollstuhl_wc;rollstuhl_verlad;mobilift;stufenloser_perronzugang;bats;autelca;automat_ktu;geopos
2165;Zetzwil;;;Unterkulm;3.0;0;0;0;0;0;;0;0;47.2824208182, 8.15301377546
2170;Aarau WSB;;;;;0;0;1;0;0;Nachtbus Staarliner ab Bahnhofstrasse;0;0;47.3910061207, 8.05265350673
2172;Suhr Schweizerhof;;;Aarau WSB;3.0;0;0;0;1;1;;;0;
2174;Bleien;;;Gränichen;2.0;0;0;0;0;1;;;0;47.3435260078, 8.11353623014
2188;Zufikon Hammergut;;;Berikon-Widen;4.0;0;0;0;0;1;;;0;47.3558336736, 8.35473028385
2188;Zufikon Hammergut;;;Bremgarten;2.0;0;0;0;0;1;;;0;47.3558336736, 8.35473028385
2191;Binzenhof;;;Aarau WSB;1.0;0;0;0;0;1;;0;0;47.3832099034, 8.05057727805
2192;Distelberg;;;Aarau WSB;2.0;0;0;0;0;0;;0;0;47.3754636798, 8.04924373608
2195;Muhen;;;;;0;0;1;1;0;;0;0;47.3395251746, 8.0536094515
2196;Unterentfelden Post;;;Aarau WSB;3.0;0;0;0;0;0;;0;0;47.3686711007, 8.04443948672
2204;Zug;;;;;1;1;1;1;1;;0;6;47.1736230527, 8.51529569481
2209;Oberrieden Dorf;;;Thalwil;3.0;0;0;1;0;0;;0;1;47.2767239721, 8.57763334225
2210;Birrfeld;;;;;;;;;;;;;47.4436595689, 8.21574073246
2214;Boswil-Bünzen;;;;;0;0;0;0;0;;0;1;47.305174603, 8.31527271204
2221;Birmensdorf ZH;;;;;0;0;0;0;0;;0;1;47.3574317945, 8.4375437434
2222;Bonstetten-Wettswil;;;Affoltern am Albis;7.0;0;0;0;0;0;;0;1;47.3258957392, 8.46817514105
2227;Steinhausen;;;Zug;9.0;0;0;0;1;1;Unterführung ca 200m ab AG entfernt;0;1;47.1945798603, 8.47842234624
2230;Zug Chollermüli;;;;;0;0;0;0;1;;0;1;47.1804713352, 8.48576089261
2231;Zug Oberwil;;;Zug;3.0;0;0;0;0;1;;0;0;47.147675872, 8.50992153777
2261;Villmergen;;;;;;;;;;;;;47.3459151395, 8.24713758523
2269;Erdmannlistein;;;Bremgarten West;2.0;;;;;;;;;47.3495926946, 8.31276009788
2269;Erdmannlistein;;;Bremgarten;5.0;;;;;;;;;47.3495926946, 8.31276009788
2270;Bergfrieden;;;Dietikon;1.0;;;;;;;;0;47.3977134679, 8.39908674756
2273;Bremgarten;;;Berikon-Widen;;0;1;1;0;1;;0;0;47.3518702667, 8.34747515845
2274;Zufikon;;;Berikon-Widen;4.0;;;;;;;;0;47.3525236772, 8.35471313744
2276;Berikon-Widen;;;;;0;0;1;0;1;;0;0;47.3621867175, 8.36679370169
2284;Allenwinden, Dorf;;;;;;;;;;;;;47.1644243789, 8.55547146948
2292;Zugerberg;;;Zug;6.0;;;;;;;;0;47.1440868284, 8.53283077278
2751;Fischbach-Göslikon, Zentrum;;;;;;;;;;;;;47.3708454977, 8.30826251945
2757;Tägerig, Post;;;;;;;;;;;;;47.4034877997, 8.27903901958
2865;Alosen;;;;;;;;;;;;;47.1409277643, 8.63764606869
2991;Kappel am Albis, Kappel;;;;;;;;;;;;;47.2277001506, 8.5262625704
3000;Zürich HB;8.0;;;;1;1;1;1;1;;0;43;47.3781765756, 8.54019221036
3001;Zürich Altstetten;5.0;;;;1;1;1;1;1;;0;2;47.3914808361, 8.4889402654
3006;Zürich Oerlikon;5.0;;;;1;1;1;1;1;;0;8;47.4115288802, 8.54411523121
3007;Zürich Seebach;;;;;0;0;0;0;1;;0;1;47.4187469105, 8.54463614173
3009;Zürich Wollishofen;;;Kilchberg;3.0;0;0;0;0;0;;0;1;47.3474399219, 8.53358828018
3011;Zürich Wiedikon;;;Zürich Enge;2.0;0;0;0;0;1;;0;2;47.3714716204, 8.52346258297
3016;Zürich Flughafen;5.0;;;;1;1;1;1;1;Zug-Bus mind. 5 Minuten, Zug-Flug mind. 90 Minuten, nach USA&Israel mind. 120 Minuten;0;12;47.4503820775, 8.56238666028
3051;Zürich Binz;;;Zürich HB;4.0;0;0;0;0;1;;0;0;47.3626316461, 8.51842405057
3052;Friesenberg;;;Zürich HB;5.0;0;0;0;0;0;;0;0;47.364780061, 8.50794226604
3053;Schweighof;;;Zürich HB;5.0;0;0;0;0;1;;0;0;47.364987185, 8.50304784133
3055;Uitikon Waldegg;;;Zürich HB;7.0;0;0;0;0;1;"Bus 201 verkehrt ab Bahnhof.

Postautos verkehren ab Uitikon Waldegg, Post bzw. Uitikon Waldegg, Waldegg. Fussweg ca. 6 Minuten.";0;0;47.3658355663, 8.46598075431
3064;Scheuren;;;Forch;1.0;0;0;0;0;1;;0;0;47.3225994344, 8.65954864094
3065;Forch;;;;;0;1;1;0;1;;0;0;47.3253390563, 8.64796901247
3066;Zumikon;;;Zürich Stadelhofen;8.0;0;0;1;0;1;;0;0;47.3316886307, 8.62380679798
3066;Zumikon;;;Forch;3.0;0;0;1;0;1;;0;0;47.3316886307, 8.62380679798
3075;Waltikon;;;Zollikerberg;2.0;0;0;0;0;1;;0;0;47.3367954763, 8.61702605059
3077;Spital Zollikerberg;;;Forch;5.0;0;0;0;0;1;;0;0;47.3473178664, 8.59679686672
3081;Felsenegg;;;Adliswil LAF;1.0;0;0;0;1;1;;0;0;47.310139154, 8.50741616984
3086;Zürich Brunau;;;Zürich HB;4.0;0;0;0;0;0;;0;0;47.3521239812, 8.5262324448
3087;Zürich Saalsporthalle;;;Zürich Enge;2.0;0;0;0;0;1;"Endhaltestelle Bus 89 im Untergeschoss Sihlcity. Fussweg ca. 4 Minuten.

Tramlinien 5, 13 und Bus 89 ab Haltestelle Zürich, Saalsporthalle. Fussweg ca. 5 Minuten.

Die Buslinien 200 + 444 halten vis à vis Sihlcity vor der Saalsporthalle. Fussweg ca. 4 Min.";0;0;47.3574066029, 8.52214389055
3087;Zürich Saalsporthalle;;;Zürich HB;3.0;0;0;0;0;1;"Endhaltestelle Bus 89 im Untergeschoss Sihlcity. Fussweg ca. 4 Minuten.

Tramlinien 5, 13 und Bus 89 ab Haltestelle Zürich, Saalsporthalle. Fussweg ca. 5 Minuten.

Die Buslinien 200 + 444 halten vis à vis Sihlcity vor der Saalsporthalle. Fussweg ca. 4 Min.";0;0;47.3574066029, 8.52214389055
3091;Zürich Giesshübel;;;Zürich HB;3.0;0;0;0;0;1;S10 nach Uetliberg Haltestelle Zürich Binz;0;0;47.3624556469, 8.52184933715
3095;Sood-Oberleimbach;;;Zürich HB;8.0;0;0;0;0;1;;0;0;47.3195703452, 8.52144171594
3096;Adliswil;;;Langnau-Gattikon;3.0;0;0;1;1;1;"Die Busse 151, 152, 153, 156, 184 und 185 verkehren ab Florastrasse 
südlich vom Bahnhof. 
Fussweg 2 Minuten.";0;0;47.3123035699, 8.52416439213
3097;Langnau-Gattikon;;;Thalwil;4.0;0;0;1;0;1;Postauto Linie 240 und Zimmerbergbus Linie 140 auf dem Bahnhofplatz;0;0;47.2868741088, 8.54401952332
3097;Langnau-Gattikon;;;Adliswil;3.0;0;0;1;0;1;Postauto Linie 240 und Zimmerbergbus Linie 140 auf dem Bahnhofplatz;0;0;47.2868741088, 8.54401952332
3101;Küsnacht ZH;;;;;0;0;1;0;1;;0;2;47.3191528026, 8.58061588761
3102;Erlenbach ZH;;;;;0;0;1;1;1;;1;0;47.3057853122, 8.59150489466
3103;Herrliberg-Feldmeilen;;;Meilen;3.0;0;0;1;0;1;;0;1;47.2818232851, 8.61271954112
3106;Männedorf;3.0;;;;0;0;1;1;1;;0;2;47.2534223208, 8.69233239506
3110;Rapperswil;4.0;;;;1;1;1;1;1;;0;3;47.2248877672, 8.81673057998
3110;Rapperswil;6.0;;;;1;1;1;1;1;;0;3;47.2248877672, 8.81673057998
3118;Benken;;;;;0;0;0;0;1;;0;1;47.2044563538, 9.00863107374
3120;Jona;;;Rüti ZH;6.0;0;0;0;0;0;;0;2;47.230969801, 8.8345980429
3122;Bubikon;;;Wetzikon;6.0;0;0;1;1;1;;0;1;47.2708395927, 8.82270102308
3124;Aathal;;;Kempten;4.0;0;0;0;0;1;;0;1;47.3359563788, 8.76561022548
3124;Aathal;;;Uster;4.0;0;0;0;0;1;;0;1;47.3359563788, 8.76561022548
3126;Nänikon-Greifensee;;;Uster;3.0;0;0;1;1;1;;0;1;47.3693584945, 8.68639971514
16;Basel St. Johann;;;;;0;0;0;0;1;;0;0;47.5702960042, 7.57251267012
25;Itingen;;;Sissach;2.0;0;0;0;0;1;;0;1;47.4672660009, 7.78720690694
26;Sissach;5.0;;;;1;1;1;1;1;;0;3;47.4627456535, 7.81201832437
27;Gelterkinden;;;Olten;15.0;1;1;1;1;1;Postauto ab Bahnhofplatz;0;3;47.4658812396, 7.84765271265
27;Gelterkinden;;;Tecknau;4.0;1;1;1;1;1;Postauto ab Bahnhofplatz;0;3;47.4658812396, 7.84765271265
28;Tecknau;;;Basel SBB;28.0;0;0;0;0;1;;0;1;47.4457572594, 7.88760523024
33;Rümlingen;;;Sissach;6.0;0;0;0;0;1;;0;1;47.4253702718, 7.85052282001
34;Buckten;;;Sissach;8.0;0;0;0;0;1;;0;1;47.4089834328, 7.84778618088
35;Läufelfingen;;;Sissach;10.0;0;0;0;1;0;;0;1;47.3921249769, 7.85621326784
37;Trimbach;;;Olten;3.0;0;0;0;0;0;;0;0;47.3660466339, 7.90427743742
63;Oberwil BL;;;Basel SBB;7.0;;;;;;;;0;47.5147558762, 7.55929727807
67;Bättwil;;;Basel SBB;15.0;;;;;;;;0;47.4891458105, 7.50995805711
71;Dorenbach;;;;;;;;;;;;;47.5437220522, 7.57803817848
72;Hüslimatt;;;Basel SBB;8.0;;;;;;;;;47.5065395718, 7.55527017406
80;Talhaus;;;Liestal;5.0;0;0;0;0;0;;0;0;47.4514439827, 7.7497638173
85;Niederdorf;;;Liestal;11.0;0;0;0;0;0;;0;0;47.4043898081, 7.75184777067
92;Hölstein Süd;;;Liestal;9.0;0;0;0;0;0;;0;0;47.4229726014, 7.76780708243
100;Tavannes;;;;;0;1;0;1;1;"Le guichet de billets est accessible en chaise roulante par le kiosque RELAY, pendant les heures d'ouvertures.
Quai CJ derrière la gare CFF";0;1;47.2198385551, 7.20163489763
103;Sorvilier;;;Court;3.0;0;0;0;0;0;;0;1;47.2392372997, 7.30576524542
104;Court;;;Malleray-Bévilard;5.0;0;0;0;0;0;;0;1;47.2405870125, 7.34209529907
105;Moutier;3.0;;;;1;1;1;1;1;;0;2;47.2806661619, 7.38103944266
108;Courrendlin;;;Choindez;2.0;;;;;;;;0;47.3382686999, 7.36888252155
109;Delémont;3.0;;;;1;1;1;1;1;"Le car postal départ devant le bâtiment ;La Poste";;0;47.3620006555, 7.35005384248
111;Liesberg;;;Delémont;10.0;;;;;;;;;47.39820125, 7.43896934637
112;Bärschwil;;;Delémont;13.0;;;;;;;;;47.4007855483, 7.47690897871
113;Laufen;6.0;;;;1;1;1;1;1;;0;3;47.4193383263, 7.50263030739
115;Grellingen;;;Dornach-Arlesheim;6.0;0;0;0;0;1;Nur Gleis 2 mit stufenlosem Perronzugang;0;1;47.4412906001, 7.59198326877
122;Bassecourt;;;Glovelier;3.0;0;0;0;0;1;Le car postal départ devant la gare;0;1;47.3366812155, 7.24684027661
126;Porrentruy;3.0;;;;1;1;1;1;1;;0;2;47.420909698, 7.08007451034
130;Delle                 SYFA+Df;;;;;0;0;0;0;0;;0;1;47.5059956785, 7.00944120245
136;Basel Dreispitz;;;;;0;0;0;0;1;;0;1;47.5378619945, 7.60894180152
141;Courchavon;;;Boncourt;7.0;;;;;;;;;47.4397614989, 7.05763565777
143;Grandgourt;;;Courtemaîche;2.0;;;;;;;;;47.4699139104, 7.0480940862
169;Muriaux;;;Saignelégier;2.0;0;0;0;0;1;;0;0;47.2436902984, 6.9854681871
170;Tramelan;;;;;0;0;1;1;1;;0;1;47.2228109343, 7.1055695828
172;La Chaux-des-Breuleux;;;Les Breuleux;2.0;;;;;;;;0;47.2203638578, 7.02519491707
174;Le Noirmont;;;Saignelégier;6.0;0;0;0;0;0;;0;1;47.2236774103, 6.95685494506
176;Boéchet, Le;;;Bois, Les;3.0;0;0;0;0;1;;;0;47.1942390773, 6.92209827078
