Bahnhof;Abkürzung;Linie;Bhf-Kat;Treppenfrei;Niveaugleich;Kanton;Bhf-Eigner;Status;Total Bahnhöfe 747;Status;;;
Lausanne;LS;100;1;R und L;partiell;VD;SBB;2;;;;;
Pully;PU;100;3;R oder L;partiell;VD;SBB;2;;;;;
Lutry;LTY;100;4;nein;partiell;VD;SBB;4;;;;;
Villette VD;VTE;100;4;nein;nein;VD;SBB;6;;;;;
Cully;CU;100;4;nein;nein;VD;SBB;6;;;;;
Epesses;EPS;100;4;nein;nein;VD;SBB;6;;;;;
Rivaz;RIV;100;4;nein;integral;VD;SBB;3;;;;;
St-Saphorin;STSA;100;4;nein;nein;VD;SBB;6;;;;;
Vevey;VV;100;1;R oder L;partiell;VD;SBB;2;;;;;
Tour-de-Peilz, La;TOUR;100;3;Rampe;nein;VD;SBB;5;;;;;
Burier;BURI;100;4;Rampe;integral;VD;SBB;1;;;;;
Clarens;CL;100;3;Rampe;nein;VD;SBB;5;;;;;
Montreux;MX;100;2;Lift;integral;VD;SBB;1;;;;;
Territet;TER;100;4;nein;nein;VD;SBB;6;;;;;
Veytaux-Chillon;VEY;100;4;nein;nein;VD;SBB;6;;;;;
Villeneuve;VIL;100;3;nein;partiell;VD;SBB;4;;;;;
Roche VD;ROC;100;4;nein;nein;VD;SBB;6;;;;;
Aigle;AIG;100;3;Rampe;integral;VD;SBB;1;;;;;
Bex;BEX;100;3;nein;nein;VD;SBB;6;;;;;
St-Maurice;SM;100;3;Rampe;partiell;VS;SBB;2;;;;;
Evionnaz;EV;100;4;nein;integral;VS;SBB;3;;;;;
Vernayaz;VERN;100;4;Rampe;partiell;VS;SBB;2;;;;;
Martigny;MA;100;3;Rampe;partiell;VS;SBB;2;;;;;
Charrat-Fully;CHAR;100;4;Rampe;nein;VS;SBB;5;;;;;
Saxon;SAX;100;4;Rampe;integral;VS;SBB;1;;;;;
Riddes;RID;100;4;Rampe;integral;VS;SBB;1;;;;;
Chamoson;CHA;100;4;Rampe;nein;VS;SBB;5;;;;;
Ardon;ARD;100;4;à Niveau;integral;VS;SBB;1;;;;;
Châteauneuf-Conthey;CHF;100;4;Rampe;integral;VS;SBB;1;;;;;
Sion;SIO;100;2;R oder L;partiell;VS;SBB;2;;;;;
St-Léonard;SL;100;4;Rampe;integral;VS;SBB;1;;;;;
Sierre/Siders;SIE;100;3;Rampe;partiell;VS;SBB;2;;;;;
Salgesch;SAL;100;4;Rampe;integral;VS;SBB;1;;;;;
Leuk;LK;100;3;Rampe;integral;VS;SBB;1;;;;;
Turtmann;TUR;100;4;nein;nein;VS;SBB;6;;;;;
Gampel-Steg;GA;100;4;nein;nein;VS;SBB;6;;;;;
Raron;RAR;100;4;nein;nein;VS;SBB;6;;;;;
Visp;VI;100;2;Rampe;integral;VS;SBB;1;;;;;
Brig;BR;100;2;Rampe;integral;VS;SBB;1;;;;;
Vevey-Funi;VVFU;111;4;Rampe;integral;VD;SBB;1;;;;;
Corseaux-Cornalles;CORS;111;4;Rampe;integral;VD;SBB;1;;;;;
Chexbres-Village;CHX;111;4;Rampe;nein;VD;SBB;5;;;;;
Massongex;MAS;130;4;Rampe;integral;VS;SBB;1;;;;;
Monthey;MTH;130;3;Rampe;integral;VS;SBB;1;;;;;
Collombey;CBY;130;4;Rampe;integral;VS;SBB;1;;;;;
Vionnaz;VIO;130;4;Rampe;integral;VS;SBB;1;;;;;
Vouvry;VOU;130;4;Rampe;integral;VS;SBB;1;;;;;
Evouettes, Les;EVOU;130;4;Rampe;integral;VS;SBB;1;;;;;
Bouveret;BOU;130;4;R oder àN;integral;VS;SBB;1;;;;;
St-Gingolph (Suisse);STGI;130;4;Rampe;integral;VS;SBB;1;;;;;
Prilly-Malley;PRMA;150;4;Rampe;integral;VD;SBB;1;;;;;
Renens VD;REN;150;2;nein;nein;VD;SBB;6;;;;;
Denges-Echandens;DEN;150;4;Rampe;nein;VD;SBB;5;;;;;
Lonay-Préverenges;LON;150;4;Rampe;nein;VD;SBB;5;;;;;
Morges-St-Jean;STJ;150;4;Rampe;nein;VD;SBB;5;;;;;
Morges;MOR;150;2;Rampe;partiell;VD;SBB;2;;;;;
St-Prex;STP;150;4;nein;nein;VD;SBB;6;;;;;
Etoy;ETOY;150;4;Rampe;integral;VD;SBB;1;;;;;
Allaman;ALL;150;3;R oder àN;integral;VD;SBB;1;;;;;
Rolle;ROL;150;3;nein;nein;VD;SBB;6;;;;;
Gland;GLA;150;3;nein;partiell;VD;SBB;4;;;;;
Nyon;NY;150;2;Rampe;partiell;VD;SBB;2;;;;;
Coppet;COP;150;3;Rampe;integral;VD;SBB;1;;;;;
Tannay;TAN;150;4;nein;nein;VD;SBB;6;;;;;
Mies;MIES;150;4;nein;nein;VD;SBB;6;;;;;
Pont-Céard;PTC;150;3;Rampe;nein;GE;SBB;5;;;;;
Versoix;VSX;150;3;Rampe;partiell;GE;SBB;2;;;;;
Creux-de-Genthod;CRGD;150;4;nein;nein;GE;SBB;6;;;;;
Genthod-Bellevue;GDBE;150;4;Rampe;integral;GE;SBB;1;;;;;
Tuileries, Les;TUI;150;4;Rampe;nein;GE;SBB;5;;;;;
Chambésy;CHY;150;4;Rampe;integral;GE;SBB;1;;;;;
Genève-Sécheron;GESE;150;4;Lift;integral;GE;SBB;1;;;;;
Genève;GE;150;1;Rampe;partiell;GE;SBB;2;;;;;
Lancy-Pont-Rouge;LAPR;150;3;Rampe;nein;GE;SBB;5;;;;;
Vernier;COI;151;4;nein;nein;GE;SBB;6;;;;;
Meyrin;VM;151;4;nein;nein;GE;SBB;6;;;;;
Zimeysa;ZIM;151;4;nein;integral;GE;SBB;3;;;;;
Satigny;SY;151;3;nein;partiell;GE;SBB;4;;;;;
Russin;RUS;151;4;nein;partiell;GE;SBB;4;;;;;
Plaine, La;LP;151;4;nein;nein;GE;SBB;6;;;;;
Genève-Aéroport;GEAP;152;2;Lift;nein;GE;SBB;5;;;;;
Sarraz, La;LSA;200;4;nein;nein;VD;SBB;6;;;;;
Arnex;AX;200;4;nein;partiell;VD;SBB;4;;;;;
Croy-Romainmôtier;CR;200;4;nein;integral;VD;SBB;3;;;;;
Bretonnières;BRT;200;4;nein;nein;VD;SBB;6;;;;;
Day, Le;DAY;200;4;nein;partiell;VD;SBB;4;;;;;
Vallorbe;VAL;200;4;nein;nein;VD;SBB;6;;;;;
Pont, Le;PT;201;4;à Niveau;integral;VD;SBB;1;;;;;
Bussigny;BY;210;3;Rampe;integral;VD;SBB;1;;;;;
Vufflens-la-Ville;VU;210;4;nein;nein;VD;SBB;6;;;;;
Cossonay-Penthalaz;COS;210;3;nein;nein;VD;SBB;6;;;;;
Eclépens;ECL;210;4;Rampe;integral;VD;SBB;1;;;;;
Bavois;BAV;210;4;nein;partiell;VD;SBB;4;;;;;
Chavornay;CHV;210;3;nein;nein;VD;SBB;6;;;;;
Essert-Pittet;ESP;210;4;nein;integral;VD;SBB;3;;;;;
Ependes;EP;210;4;nein;nein;VD;SBB;6;;;;;
Yverdon-les-Bains;YV;210;2;Rampe;partiell;VD;SBB;2;;;;;
Grandson;GRS;210;4;nein;nein;VD;SBB;6;;;;;
Concise;CC;210;4;nein;integral;VD;SBB;3;;;;;
Vaumarcus;VAU;210;4;Rampe;integral;NE;SBB;1;;;;;
Gorgier-St-Aubin;GOR;210;4;nein;partiell;NE;SBB;4;;;;;
Bevaix;BV;210;4;nein;nein;NE;SBB;6;;;;;
Boudry;BDR;210;4;nein;nein;NE;SBB;6;;;;;
Colombier;CLB;210;4;nein;nein;NE;SBB;6;;;;;
Auvernier;AUV;210;4;nein;nein;NE;SBB;6;;;;;
Neuchâtel-Serrières;NESE;210;4;Rampe;partiell;NE;SBB;2;;;;;
Neuchâtel;NE;210;1;Rampe;partiell;NE;SBB;2;;;;;
St-Blaise CFF;SBL;210;4;nein;integral;NE;SBB;3;;;;;
Cornaux;CORN;210;4;nein;nein;NE;SBB;6;;;;;
Cressier NE;CRNE;210;4;nein;nein;NE;SBB;6;;;;;
Landeron, Le;LD;210;4;nein;nein;NE;SBB;6;;;;;
Neuveville, La;NV;210;3;à Niveau;integral;BE;SBB;1;;;;;
Ligerz;LIG;210;4;à Niveau;nein;BE;SBB;5;;;;;
Twann;TWN;210;4;Lift;nein;BE;SBB;5;;;;;
Tüscherz;TUE;210;4;nein;nein;BE;SBB;6;;;;;
Biel/Bienne;BI;210;1;Rampe;integral;BE;SBB;1;;;;;
Bôle;BOLE;221;4;à Niveau;integral;NE;SBB;1;;;;;
Champ-du-Moulin;CDM;221;4;à Niveau;nein;NE;SBB;5;;;;;
Noiraigue;NOI;221;4;à Niveau;nein;NE;SBB;5;;;;;
Travers;TR;221;4;à Niveau;partiell;NE;SBB;2;;;;;
Deurres, Les;DEU;223;4;à Niveau;nein;NE;SBB;5;;;;;
Corcelles-Peseux;CP;223;4;à Niveau;nein;NE;SBB;5;;;;;
Chambrelien;CHN;223;4;à Niveau;nein;NE;SBB;5;;;;;
Montmollin-Montezillon;MML;223;4;à Niveau;nein;NE;SBB;5;;;;;
Geneveys-sur-Coffrane, Les;GEC;223;4;à Niveau;nein;NE;SBB;5;;;;;
Hauts-Geneveys, Les;HGV;223;4;à Niveau;integral;NE;SBB;1;;;;;
Chaux-de-Fonds, La;CF;223;3;Rampe;integral;NE;SBB;1;;;;;
Crêt-du-Locle, Le;CRET;223;4;à Niveau;integral;NE;SBB;1;;;;;
Locle, Le;LOC;223;3;nein;nein;NE;SBB;6;;;;;
Locle-Col-des-Roches, Le;COL;223;4;nein;nein;NE;SBB;6;;;;;
Frinvillier-Taubenloch;FRIN;225;4;à Niveau;partiell;BE;SBB;2;;;;;
Reuchenette-Péry;REU;225;4;à Niveau;nein;BE;SBB;5;;;;;
Heutte, La;LHE;225;4;à Niveau;nein;BE;SBB;5;;;;;
Sonceboz-Sombeval;SCB;225;3;Rampe;nein;BE;SBB;5;;;;;
Corgémont;COG;225;4;à Niveau;integral;BE;SBB;1;;;;;
Cortébert;CO;225;4;à Niveau;integral;BE;SBB;1;;;;;
Courtelary;CTY;225;4;à Niveau;integral;BE;SBB;1;;;;;
Cormoret;CORM;225;4;à Niveau;nein;BE;SBB;5;;;;;
Villeret;VT;225;4;à Niveau;integral;BE;SBB;1;;;;;
St-Imier;STI;225;3;à Niveau;integral;BE;SBB;1;;;;;
Sonvilier;SV;225;4;à Niveau;integral;BE;SBB;1;;;;;
Renan BE;RE;225;4;à Niveau;nein;BE;SBB;5;;;;;
Tavannes;TA;226;3;à Niveau;nein;BE;SBB;5;;;;;
Reconvilier;REC;226;4;à Niveau;nein;BE;SBB;5;;;;;
Pontenet;PON;226;4;à Niveau;integral;BE;SBB;1;;;;;
Malleray-Bévilard;MB;226;4;à Niveau;nein;BE;SBB;5;;;;;
Sorvilier;SOR;226;4;à Niveau;nein;BE;SBB;5;;;;;
Court;CT;226;4;à Niveau;nein;BE;SBB;5;;;;;
Moutier;MOU;226;3;Rampe;nein;BE;SBB;5;;;;;
Basel St. Johann;BSSJ;230;4;Lift;integral;BS;SBB;1;;;;;
Basel St. Jakob;BSJA;230;4;Lift;integral;BS;SBB;1;;;;;
Basel SBB;BS;230;1;L oder àN;integral;BS;SBB;1;;;;;
Basel Dreispitz;BSDH;230;4;Lift;integral;BS;SBB;1;;;;;
Münchenstein;MST;230;4;Rampe;integral;BL;SBB;1;;;;;
Dornach-Arlesheim;DOR;230;3;Rampe;integral;SO;SBB;1;;;;;
Aesch;AE;230;3;Rampe;integral;BL;SBB;1;;;;;
Duggingen;DUG;230;4;à Niveau;integral;BL;SBB;1;;;;;
Grellingen;GREL;230;3;Rampe;integral;BL;SBB;1;;;;;
Zwingen;ZWG;230;3;Lift;integral;BL;SBB;1;;;;;
Laufen;LFN;230;3;R oder àN;partiell;BL;SBB;2;;;;;
Delémont;DMT;240;3;Rampe;integral;JU;SBB;1;;;;;
Courtételle;CTT;240;4;à Niveau;integral;JU;SBB;1;;;;;
Courfaivre;CFV;240;4;à Niveau;integral;JU;SBB;1;;;;;
Bassecourt;BSC;240;4;à Niveau;integral;JU;SBB;1;;;;;
Glovelier;GLO;240;4;Rampe;integral;JU;SBB;1;;;;;
St-Ursanne;SU;240;4;à Niveau;integral;JU;SBB;1;;;;;
Courgenay;CG;240;4;à Niveau;integral;JU;SBB;1;;;;;
Porrentruy;POR;240;3;R oder àN;integral;JU;SBB;1;;;;;
Courchavon;CCH;240;4;à Niveau;integral;JU;SBB;1;;;;;
Courtemaîche;CTM;240;4;à Niveau;nein;JU;SBB;5;;;;;
Grandgourt;GRA;240;4;à Niveau;nein;JU;SBB;5;;;;;
Buix;BX;240;4;à Niveau;integral;JU;SBB;1;;;;;
Boncourt;BCT;240;4;nein;partiell;JU;SBB;4;;;;;
Pully-Nord;PUN;250;4;Rampe;nein;VD;SBB;5;;;;;
