Fahrzeug-Art (Struktur);Fahrzeug-Typ;Objekt;Baudatum Fahrzeug;Eigengewicht (Tara);Lärmarm;Abteile 1.Kl. Nichtraucher;Abteile 2.Kl. Raucher;Abteile 2.Kl. Nichtraucher;Ansage -System/-Speicher;Anzahl Abteil-Langtische;Anzeigeblinkleuchte Durchsage;Audio-Anlage;Aussenanzeigen Front (KIS);Aussenanzeigen Front (KIS) St;Aussenanzeigen Seite (KIS);Aussenanzeigen Seite (KIS) St;Barstühle;Bartheke;Beistellstühle;Bildschirm (KIS);Bildschirm (KIS) St;Bildschirm 2 (KIS) St;Dienst -Raum/-Abteil;Eigengewicht (Tara) Zug;Druckertüchtigt;El Anschluss 230 V Anzahl  UD;El Anschluss 230 V Anzahl (OD);Fahrgastzähleinrichtung AFZ;FIS Fahrgastinformationssystem;Gepäckraum-Ladefläche;Gepäckträgerart;In-Train aussen;In-Train innen;In-Train-Versorgung;Innenanzeigen (Matrix, KIS);Innenanzeigen (Matrix, KIS) St;Klappsitze total pro Zug;Komfortanlage Führerraum;Komfortanlage Gepäckabteil;Komfortanlage Passagierraum;Kundeninformationssystem KIS;Länge über Puffer (LüP);Länge über Zug;Notsitze klappbar;Plätze Rollstühle NR/R Total;Plätze Rollstühle pro Zug;Restaurationsplätze WR;Restaurationsplätze WR pro Zug;Salon-Sofa;Sitzpl. 1.Kl. (AFZ);Sitzpl. 1.Kl. Nichtraucher;Sitzpl. 2.Kl. (AFZ);Sitzpl. 2.Kl. klappbar;Sitzpl. 2.Kl. Nichtraucher;Sitzplätze 1.Kl. NR Zug;Sitzplätze 1.Kl. Total  Zug;Sitzplätze 2.Kl. NR Zug;Sitzplätze 2.Kl. Total  Zug;Sitzplätze pro Wagen Total;Sitzplätze pro Zug Total;Sitzplätze Total (AFZ);Sitzpl. 1.Kl. NR/R Total;Sitzpl. 2.Kl. NR/R Total;Sitzpl. Bestuhlungsart;Sitzplätze Business pro Wagen;Ski- & Snowboardhalter;Stehplätze auf Plattform;Velo-Spanngurt (Stehplatzzone);Veloabteil;Velohaken;Veloplattform;Veloständer;Video/Audio-Anlage;Vmax betrieblich zugelassen
20;B EWI NPZ;50 85 2035223-0;1961-01-28;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035274-3;1963-03-26;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035297-4;1961-10-20;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,elektron Tempreg,R;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035300-6;1963-05-14;29.2;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035302-2;1960-09-06;29.4;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035326-1;1960-09-28;29.4;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035339-4;1963-07-05;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035341-0;1962-12-12;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035344-4;1961-11-14;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ Bf;50 85 2035603-3;1961-07-18;29.45;Ja;;;10;;;;;;;;;;;;;;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
