y;x;Linie;Km;BPS;BPS Name;PerronTyp;P-Nr;Kanten-L=;PK-H=;Bem Hohe;Hilfstritt;H-Verl;Bem H-Verlauf;Material;Bem Material;Kantenkrone;Bem Kantenkrone;Auftritt;Bem Auftritt;Fotos;FID;y2;x2;1_koord;2_koord
682721.806;244910.72;720;5.538;ZWOL;Zurich Wollishofen;Mittelperron;3/4;26.11;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35368270;682726.151;244884.975;47.3498585485, 8.53343683791;47.349626467, 8.53348958221
682738.648;244808.005;720;5.642;ZWOL;Zurich Wollishofen;Mittelperron;3/4;209.99;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35343995;682768.507;244600.159;47.3489326729, 8.53364074202;47.347059672, 8.53399746861
682772.572;244567.579;720;5.885;ZWOL;Zurich Wollishofen;Mittelperron;3/4;49.77;P 30;;;konstant;;Fertigelement;;Beton;;Kein;;0;35364719;682778.145;244518.127;47.3467661549, 8.53404524003;47.3463207108, 8.53410984835
683817.148;242228.593;720;8.5;KIL;Kilchberg;Aussenperron;2;328.82;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35339201;683893.014;241908.645;47.3255986013, 8.54743005961;47.322711506, 8.54837369218
685043.115;239079.33;720;11.914;TW;Thalwil;Mittelperron;5/6;358.99;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35372323;685262.678;238795.383;47.2971187623, 8.56304904517;47.2945367415, 8.56589773311
686172.715;237315.857;720;14.056;ORD;Oberrieden;Aussenperron;2;324.88;P 55;0;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35340167;686316.482;237024.572;47.2811123627, 8.57764387285;47.2784738909, 8.57948792074
686165.788;237313.083;720;14.056;ORD;Oberrieden;Hausperron;1;325.54;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35337144;686309.516;237021.057;47.2810883189, 8.57755179364;47.2784431894, 8.57939518749
691024.079;233618.711;720;20.518;AU;Au ZH;Mittelperron;3/4;319.83;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35363467;691341.698;233581.185;47.2472109365, 8.64100984301;47.2468295944, 8.64519714689
693570.725;231825.357;720;23.798;WAE;Wadenswil;Mittelperron;2/3;79.72;P 25;;;Karrenueberfahrten;Absenkrampe;Fertigelement;;Naturstein;;Gitterrost;;0;35329557;693615.498;231759.757;47.2307265357, 8.67427123811;47.2301302186, 8.67484874064
693573.76;231825.9;720;23.8;WAE;Wadenswil;Mittelperron;2/3;78.87;P 25;;;konstant;;Fertigelement;;Naturstein;;Gitterrost;;0;35359403;693620.288;231762.59;47.2307309893, 8.67431142292;47.2301550185, 8.67491257293
693710.176;231562.338;720;24.098;WAE;Wadenswil;Mittelperron;2/3;105.15;P 25;;;konstant;;Fertigelement;;Naturstein;;Kein;;0;35361845;693760.744;231470.561;47.2283413067, 8.67605767507;47.2275087349, 8.67670618688
697507.683;228535.698;720;29.243;BAE;Bach;Mittelperron;1/2;44.69;P 25;;nicht vorhanden;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35348180;697550.59;228548.193;47.2005718082, 8.7255389404;47.2006778508, 8.72610783271
697736.524;228606.293;720;29.482;BAE;Bach;Mittelperron;1/2;81.75;P 25;;nicht vorhanden;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35335856;697813.417;228633.984;47.2011729046, 8.72857396523;47.2014105684, 8.72959464312
701347.708;228909.317;720;33.298;PF;Pfaffikon SZ;Mittelperron;5/6;71.88;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35365470;701419.467;228905.669;47.2033542726, 8.77629416248;47.2033104573, 8.77724028811
701419.725;228911.76;720;33.369;PF;Pfaffikon SZ;Mittelperron;5/6;348.19;P 55;;;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35325290;701767.444;228893.95;47.2033651964, 8.77724506418;47.2031515759, 8.78182961049
701419.467;228905.669;720;33.37;PF;Pfaffikon SZ;Mittelperron;5/6;348.0;P 55;;;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35349156;701767.025;228888.302;47.2033104573, 8.77724028811;47.2031008459, 8.78182280526
707004.502;227474.077;720;39.417;LA;Lachen;Mittelperron;3/4;320.24;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35319641;707313.232;227559.147;47.189555183, 8.85060032693;47.1902701948, 8.85469352887
716941.38;225829.669;720;49.851;RG;Reichenburg;Mittelperron;3/4;302.67;P 42;inkl. 20cm Hilfstritt;vorhanden;konstant;;Fertigelement;Stahl;Andere;Stahl;Andere;alte Perronkante;0;66438482;717229.236;225736.153;47.1730839235, 8.98126281046;47.1721919642, 8.9850347711
717229.236;225736.153;720;50.154;RG;Reichenburg;Mittelperron;3/4;17.88;P 20;;;konstant;;Fertigelement;;Beton;;;;0;66438505;717245.905;225730.089;47.1721919642, 8.9850347711;47.1721344753, 8.9852530231
722841.967;222032.399;720;56.91;ZB;Ziegelbrucke;Mittelperron;9/10;374.42;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35375672;723140.646;221807.539;47.1378657218, 9.05804503492;47.1357880589, 9.0619200457
722866.02;221994.106;720;56.952;ZB;Ziegelbrucke;Mittelperron;7/8;336.39;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35335589;723133.458;221790.117;47.1375168903, 9.05835161274;47.1356327222, 9.06182056658
722968.785;221871.4;720;57.108;ZB;Ziegelbrucke;Dienstperron;1;83.34;<=P20;;;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35331135;723035.216;221821.078;47.1363943161, 9.05967254154;47.135929426, 9.06053431001
684932.262;244836.605;730;8.108;ZTB;Zurich Tiefenbrunnen;Hausperron;1;56.15;P 20;;;konstant;;Fertigelement;;Beton;;Kein;;0;35345983;684962.51;244789.519;47.3489109246, 8.56267389116;47.3484835637, 8.56306522867
686286.216;241749.013;730;11.53;KUES;Kusnacht ZH;Mittelperron;3/4;100.87;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35336471;686320.373;241654.318;47.3209671173, 8.57999614549;47.3201110135, 8.58042967568
687130.23;240202.111;730;13.335;ERLB;Erlenbach ZH;Mittelperron;2/3;51.18;P 25;;;nicht konstant;;Fertigelement;;Naturstein;;Kein;;0;35332612;687152.945;240156.489;47.3069441811, 8.59085848542;47.3065308809, 8.59114997035
687134.411;240204.156;730;13.336;ERLB;Erlenbach ZH;Mittelperron;2/3;51.19;P 25;;;nicht konstant;;Fertigelement;;Naturstein;;Kein;;0;35332627;687158.498;240159.227;47.3069620205, 8.59091416514;47.3065547715, 8.59122392526
687255.664;239960.059;730;13.608;ERLB;Erlenbach ZH;Mittelperron;2/3;51.76;P 25;;;nicht konstant;;Fertigelement;;Naturstein;;Kein;;0;35356890;687285.051;239917.706;47.3047507172, 8.59246995178;47.3043659297, 8.59285026318
687707.093;239237.036;730;14.468;WIN;Winkel am Zurichsee;Aussenperron;1;222.33;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35338425;687787.335;239030.359;47.2981883771, 8.59829735814;47.2963189619, 8.59931775128
693798.795;235008.135;730;22.348;UET;Uetikon;Mittelperron;2/3;321.53;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35344408;694088.873;234874.176;47.2593183979, 8.67794628888;47.258072376, 8.68175027129
693800.224;235010.437;730;22.349;UET;Uetikon;Mittelperron;2/3;319.8;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35309511;694089.973;234878.028;47.2593388978, 8.67796564679;47.2581068619, 8.68176560854
697056.714;233005.73;730;26.4;STAE;Stafa;Mittelperron;3/4;320.83;P 55;;;konstant;;Fertigelement;;Beton;;Beton;alter Perron;0;35330829;697364.182;232920.457;47.2408391651, 8.72055186723;47.2400270191, 8.72459371676
699272.437;232469.603;730;28.75;UER;Uerikon;Mittelperron;2/3;341.51;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35362912;699612.476;232497.771;47.2356882805, 8.74969340704;47.2358904137, 8.75418960987
716644.992;231547.426;735;46.645;UZ;Uznach;Hausperron;1;291.09;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35345267;716925.597;231469.999;47.2245558374, 8.97883455193;47.2238099392, 8.98251864987
714173.562;231552.655;735;49.115;SCME;Schmerikon;Hausperron;1;271.28;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35329342;713902.285;231551.087;47.2250346141, 8.94621069853;47.2250673413, 8.94262915718
714072.311;231544.151;735;49.217;SCME;Schmerikon;Aussenperron;2;170.19;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35359731;713902.124;231543.165;47.224975629, 8.94487192301;47.2249961267, 8.9426250268
709219.425;230567.545;735;54.306;BOL;Bollingen;Hausperron;1;222.55;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35340675;709003.593;230621.738;47.2170130278, 8.88057081361;47.2175360345, 8.87773510731
722384.911;204051.726;736;77.292;LGB;Leuggelbach;Hausperron;1;71.76;P 25;;;nicht konstant;;Ortsbeton;;Naturstein;;Kein;;0;35370146;722370.105;203981.511;46.9762486289, 9.04716213818;46.9756198986, 9.04694867856
721871.05;202893.439;736;78.563;LU;Luchsingen-Hatzingen;Hausperron;1;77.21;<=P20;10 cm;;nicht konstant;;Fertigelement;;Beton;;Kein;;0;35362191;721830.08;202828.112;46.9659264088, 9.04009952625;46.9653464259, 9.03954378792
721747.172;202744.421;736;78.759;LU;Luchsingen-Hatzingen;Hausperron;1;26.05;<=P20;10 cm;;nicht konstant;;Fertigelement;;Beton;;Kein;keiner;0;35362882;721726.121;202729.081;46.9646089809, 9.03843221301;46.9644748847, 9.0381515632
719921.167;199392.744;736;82.798;RUET;Ruti GL;Hausperron;1;120.16;P 35;inkl. 20 cm Hilfstritt;vorhanden;konstant;;Fertigelement;;Andere;Stahl;Andere;alte Perronkante;0;35321377;719812.303;199341.889;46.9347985356, 9.01356037956;46.9343608243, 9.01211765654
705661.576;231798.861;740;60.793;JO;Jona;Aussenperron;2;324.61;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;156954575;705731.76;232115.074;47.228665046, 8.83389832696;47.2314975825, 8.8348992187
704951.314;236270.354;740;68.361;BUB;Bubikon;Mittelperron;2/3;320.55;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35337796;704722.864;236495.21;47.2689911742, 8.82556487634;47.2710496139, 8.82259893399
692224.48;248802.967;740;87.125;SCWE;Schwerzenbach ZH;Mittelperron;2/3;319.97;P 42;;nicht vorhanden;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35352775;691965.303;248990.599;47.3836013261, 8.65998580825;47.38532496, 8.65659255934
692124.453;248884.793;740;87.254;SCWE;Schwerzenbach ZH;Hausperron;1;31.01;<=P20;18 cm;nicht vorhanden;konstant;;Ortsbeton;;Naturstein;;Kein;;0;35361149;692099.434;248903.111;47.3843511945, 8.65867817861;47.3845194292, 8.65835066302
705507.982;242546.323;742;17.629;ETH;Ettenhausen-Emmetschloo;Aussenperron;1;75.33;<=P20;;;konstant;;Fertigelement;;Beton;;Kein;;0;35336814;705509.288;242471.005;47.3253424446, 8.8343950041;47.3246649037, 8.83439455397
707697.134;246178.884;742;22.442;NEU;Neuthal;Hausperron;1;106.15;P 30;;;auslaufend;;Ortsbeton;;Beton;;Kein;;0;125857193;707759.975;246264.426;47.3576556504, 8.86422212971;47.358414641, 8.86507436253
708861.842;247418.395;742;25.131;BMA;Bauma;Aussenperron;3B;24.21;<=P20;15cm;;konstant;;Fertigelement;;Beton;;Kein;;0;35373529;708885.831;247415.104;47.3686109168, 8.87993739692;47.3685773577, 8.88025413491
682908.451;248205.976;745;99.663;ZMUS;Zurich HB Museumstrasse;Mittelperron;41/42;359.89;P 55;;;konstant;;Ortsbeton;;Naturstein;;Beton;;0;35366432;683243.618;248075.576;47.3794706657, 8.53651686757;47.3782556716, 8.5409303822
