didok,stationsbezeichnung,parkrail_anzahl,parkrail_preis_tag,parkrail_preis_monat,parkrail_preis_jahr,parkrail_pflichtig_zeit1,parkrail_pflichtig_zeit2,parkrail_pflichtig_zeit3,parkrail_bemerkung,railtaxitext,railtaxiinfo,mietvelo_bezeichnung,mietvelo_anzahl,mietvelo_bemerkung,veloparking_status_d,veloparking_bemerkung_d,veloparking_abschliessbar,veloparking_abschliessbar_text,carsharing standort_bezeichnung,geopos
2226,Knonau,91,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Knonau Bahnhof,"47.2202591199, 8.4667085831"
2227,Steinhausen,31,6,60,,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.1945798603, 8.47842234624"
2230,Zug Chollermüli,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Zug Chollermüli,"47.1804713352, 8.48576089261"
2306,Hünenberg Chämleten,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.1691518563, 8.44989778178"
2119,Lenzburg,264,8,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Jahreskarten sind ausschliesslich am SBB Schalter in Lenzburg erhältlich. Online-Ticket für Tageskarten erhältlich.,Gratisnummer 0800 44 22 66,"Zugehörige Agglomerationsstandorte: Niederlenz, Wildegg, Möriken, Seon, Schafisheim, Rupperswil, Hunzenschwil, Hendschiken,Othmarsingen, Brunegg, Staufen Ammerswil.<br>RailTaxi-Partner: Chestenberg-Taxi",,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Lenzburg Bahnhof,"47.3911934191, 8.17037888645"
2204,Zug,200,12,90,900,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich. Monats- und Jahreskarten nur mit Streckenabo Zug-Luzern/Zürich oder weiter. Keine Parkkarten mit ZugerPass.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Zug Bahnhof / P+R Gubelstrasse,"47.1736230527, 8.51529569481"
2204,Zug,200,12,90,900,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich. Monats- und Jahreskarten nur mit Streckenabo Zug-Luzern/Zürich oder weiter. Keine Parkkarten mit ZugerPass.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Zug Bahnhof,"47.1736230527, 8.51529569481"
2224,Affoltern am Albis,140,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Parkplätze befinden sich im Coop / Verkauf nur vor Ort,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Affoltern a.A. Bahnhof,"47.276064074, 8.44658239143"
2115,Wildegg,66,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.4152733765, 8.16299733569"
2223,Hedingen,75,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Hedingen Bahnhof,"47.2987825148, 8.44595351443"
2105,Othmarsingen,32,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.4074269011, 8.21478836445"
2100,Safenwil,9,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.32175296, 7.98350900936"
2106,Mägenwil,22,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.4145021864, 8.23513921004"
2031,Hallwil-Dürrenäsch,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3286359778, 8.17593763411"
3123,Wetzikon,116,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 06:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 06:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 06:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/wetzikon/,Wetzikon (ZH) Bahnhof,"47.3180331432, 8.79226951209"
3108,Uerikon,49,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Uerikon Bahnhof,"47.2358565197, 8.75261073401"
3107,Stäfa,71,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Stäfa Bahnhof,"47.2405237212, 8.72163122186"
3109,Feldbach,57,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.2391975436, 8.78348281363"
3135,Steg,50,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3538535176, 8.93235901657"
3120,Jona,46,8,,,,,,Anlage auf Gemeindegebiet / Monats-u. Jahreskarten bei der Gde Jona,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Rapperswil-Jona Bahnhof Jona,"47.230969801, 8.8345980429"
3112,Kempraten,,,,,,,,Anlage auf Gemeindegebiet.,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Rapperswil-Jona Bahnhof Kempraten,"47.2383929337, 8.81429184846"
3020,Zürich Hardbrücke,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Zürich Prime Tower,"47.3851946908, 8.51710646094"
3010,Zürich Enge,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Zürich Enge Bahnhof,"47.3640983597, 8.53080595476"
3117,Kaltbrunn,16,0,0,0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.2179781456, 9.02241755712"
3506,Killwangen-Spreitenbach,79,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Killwangen Bahnhof Killwangen-Spreitenbach,"47.433328238, 8.35419430986"
3505,Wettingen,79,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Wettingen Bahnhof,"47.4596367944, 8.3159863528"
3204,Horgen,44,8,80,800,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Online-Ticket erhältlich. Tageswahlkarte, Monats - und Jahreskarten am Schalter erhältlich. Tages- und Mehrtageskarten an der Parkuhr oder via Ticketshop",,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Horgen Bahnhof,"47.2614824887, 8.59690458831"
4010,"Conversion, La",62,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.513080116, 6.67832554978"
3423,Neuhausen,66,8,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Neuhausen a. Rheinfall Bahnhof,"47.683134176, 8.62491498919"
3404,Rafz,104,7,70,700,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"47.6037893298, 8.54342564763"
4012,Puidoux-Chexbres,130,7,70,700,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.493832083, 6.76568624893"
3415,Rümikon AG,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.5653831658, 8.37365327646"
4000,Pully-Nord,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.5146692019, 6.65798812442"
4007,Moreillon,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.5083872786, 6.78564812794"
4023,Romont,176,7,70,700,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Parkplätze der SBB und der Gemeinde, Verkauf nur vor Ort, Abo-Verkauf beschränkt",,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Romont Gare,"46.6935017507, 6.91181476775"
4104,Thörishaus Station,15,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.9046192361, 7.35702398811"
4117,Oberwangen,7,3,30,300,"Mo,Tu,We,Th,Fr,Sa,Su 07:00-19:00",,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.9145625893, 7.36219395114"
4018,Ecublens-Rue,5,0,0,0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.6104179611, 6.81105588343"
4125,Domdidier,8,0,0,0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.8685046705, 7.01138032832"
4025,Chénens,15,0,0,0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.7492007014, 7.00043211139"
4130,Yvonand,44,0,0,0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.8008635427, 6.74668648053"
4013,Chexbres-Village,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Chexbres Gare,"46.4810524899, 6.77854229136"
4040,Corseaux-Cornalles,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.4704453244, 6.8247755489"
4127,Faoug,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.9082315978, 7.07459265792"
