y,x,Linie,Km,BPS,BPS-Name,PerronTyp,P-Nr,P-Lange,Z-Schienenfrei,P-Besonderheit,Bem-Typ,BE-Nr,BE Konstruktion,Bem Konstruktion,BE L=,Flache,Oberflache,Bem Oberflache,Baujahr,BE Besonderes,B-Jahr,Fotos,GO 1 Erf Dtm,GO Mut Dtm,GO IPID,1 Erf Dtm,Mut Dtm,AT-PA-Region,PJ-Produktionsstandort,IH-Region,IH-Niederlassung,B-Region,Kst,Kst-Beschreibung,UEW-Region,UEW-Niederlassung-FB,Abk. Str. Verwaltung,ErfMandant,Status,FNO,FID,IPID,geopos
582786.037,242677.799,240,96.258,GLO,Glovelier,Zwischenperron,1/3,170,nein,,,1,Fertigelement,,170,1118,Bituminoeses Mischgut,,,,2006,0,0001-01-11T00:53:28+00:53,0001-01-24T00:53:28+00:53,3551303,0001-01-11T00:53:28+00:53,0001-01-24T00:53:28+00:53,West,West,West,Biel/Bienne,West,240100,(Delemont) - Glovelier,West,Biel,SBB CFF,SBB,Bestehend,716,35386361,3551302,"47.3347338596, 7.21087348537"
658049.266,249013.477,653,65.18,HDK,Hendschiken,Hausperron,1,153,ja,,,1,Konventionell fundiert,,153,718,Bituminoeses Mischgut,,,,2002,0,0001-01-22T00:53:28+00:53,0001-01-19T00:53:28+00:53,974441,0001-01-12T00:53:28+00:53,0001-01-10T00:53:28+00:53,Mitte,NEP,Mitte,Brugg,Mitte,653100,(Gexi) - Wohlen,Mitte,Basel,SBB CFF,SBB,Bestehend,716,35392104,573955,"47.3893919867, 8.20745652386"
688002.923,168959.511,600,70.419,GOE,Goschenen,Zwischenperron,3,72,nein,,,1,Konventionell fundiert,,72,142,Bituminoeses Mischgut,,,,,0,0001-01-24T00:53:28+00:53,0001-01-25T00:53:28+00:53,1465603,0001-01-24T00:53:28+00:53,0001-01-09T00:53:28+00:53,Sud,NEP,Sud,Erstfeld,Sud,600300,(Erstfeld) - Goschenen,Sud,Giubiasco,SBB CFF,SBB,Bestehend,716,35380110,1465602,"46.6660659258, 8.58859180859"
724078.006,211247.095,736,68.522,GL,Glarus,Hausperron,1,201,ja,,,1,Konventionell fundiert,,201,1457,Bituminoeses Mischgut,,,,,0,0001-01-06T00:53:28+00:53,0001-01-08T00:53:28+00:53,1771316,0001-01-06T00:53:28+00:53,0001-01-17T00:53:28+00:53,Ost,Ost,Ost,Rapperswil,Ost,736050,(Ziegelbrucke) - Glarus,Ost,St.Gallen,SBB CFF,SBB,Bestehend,716,35375916,1771317,"47.0406431386, 9.07137633139"
687987.007,168956.493,600,70.425,GOE,Goschenen,Aussenperron,4,94,ja,,,1,Konventionell fundiert,,94,487,Bituminoeses Mischgut,,,,,0,0001-01-24T00:53:28+00:53,0001-01-25T00:53:28+00:53,1465595,0001-01-24T00:53:28+00:53,0001-01-26T00:53:28+00:53,Sud,NEP,Sud,Erstfeld,Sud,600300,(Erstfeld) - Goschenen,Sud,Giubiasco,SBB CFF,SBB,Bestehend,716,35377988,1465594,"46.6660408781, 8.58838328254"
664479.211,224304.899,651,13.661,HO,Hochdorf,Hausperron,1,166,ja,,,2,Konventionell fundiert,,166,21,Kiessandbelag,,,,,0,0001-01-08T00:53:28+00:53,0001-01-28T00:53:28+00:53,2398491,0001-01-07T00:53:28+00:53,0001-01-11T00:53:28+00:53,Mitte,NEP,Mitte,Luzern,Mitte,651100,(Hubeli) - Hochdorf,Mitte,Luzern,SBB CFF,SBB,Bestehend,716,35389091,2398293,"47.1665658662, 8.28906576813"
736879.323,252778.851,850,90.176,GSS,Gossau SG,Mittelperron,3/4,432,ja,,,1,Konventionell fundiert,,432,2791,Bituminoeses Mischgut,,,,,0,0001-01-28T00:53:28+00:53,0001-01-29T00:53:28+00:53,1173355,0001-01-28T00:53:28+00:53,0001-01-19T00:53:28+00:53,Ost,Ost,Ost,St.Gallen,Ost,850250,Gossau,Ost,St.Gallen,SBB CFF,SBB,Bestehend,716,35392113,1173353,"47.4115862541, 9.25240571771"
707719.799,144174.228,600,112.666,LAV,Lavorgo,Aussenperron,4,202,ja,,.,1,Konventionell fundiert,,202,631,Bituminoeses Mischgut,,,,1968,0,0001-01-27T00:53:28+00:53,0001-01-10T00:53:28+00:53,1154794,0001-01-27T00:53:28+00:53,0001-01-11T00:53:28+00:53,Sud,Sud,Sud,Biasca,Sud,600400,Airolo - Bodio,Sud,Giubiasco,SBB CFF,SBB,Bestehend,716,35378951,1154793,"46.4402529785, 8.84040084038"
686323.518,241651.97,730,11.634,KUES,Kusnacht ZH,Mittelperron,3/4,332,ja,,,2,Konventionell fundiert,,232,1705,Verbundstein-Pflaesterung,,,,1993,0,0001-01-05T00:53:28+00:53,0001-01-25T00:53:28+00:53,1635810,0001-01-06T00:53:28+00:53,0001-01-23T00:53:28+00:53,Ost,Ost,Ost,Rapperswil,Ost,730150,(Zurich Tiefenbrunnen) - Herrliberg-Feldmeilen,Ost,Zurich,SBB CFF,SBB,Bestehend,716,144426516,11806463,"47.3200894853, 8.5804708184"
732083.088,278419.045,824,98.84,KURZ,Kurzrickenbach Seepark,Hausperron,1,120,ja,,,1,Konventionell fundiert,,120,350,Verbundstein-Pflaesterung,,,,1997,0,0001-01-06T00:53:28+00:53,0001-01-27T00:53:28+00:53,2774828,0001-01-06T00:53:28+00:53,0001-01-27T00:53:28+00:53,Ost,Ost,Ost,St.Gallen,Ost,824100,(Romanshorn) - (Konstanz),Ost,St.Gallen,SBB CFF,SBB,Bestehend,716,35386825,2774829,"47.6431108252, 9.19648469651"
